Age-0 Striped Bass

Year	Sept	Oct	Nov	Dec	Total
1984	10	1	4	1	16
1985	3	4	0	8	15
1986	14	25	8	11	58
1987	10	3	4	12	29
1988	3	4	2	0	9
1989	3	1	0	0	4
1990	5	2	1	0	8
1991	10	2	6	0	18
1992	2	0	1	0	3
1993	4	3	1	2	10
1994	0	1	0	2	3
1995	43	27	5	1	76
1996	13	0	0	9	22
1997	1	0	0	0	1
1998	127	92	45	17	281
1999	24	3	12	0	39
2000	0	4	3	1	8
2001	10	2	0	15	27
2002	0	0	1	0	1
2003	4	5	0	0	9
2004	1	2	1	0	4
2005	5	0	0	0	5
2006	1	0	3	0	4
2007	1	0	0	0	1
2008	0	0	0	0	0
2009	0	0	0	1	1
2010	0	0	0	0	0
2011	15	0	0	0	15
2012	0	0	0	1	1
2013	0	0	0	1	1
2014	0	0	0	1	1
2015	0	0	0	0	0
2016	0	0	0	0	0
2017	0	0	0	1	1
2018	0	0	0	0	0
2019	0				
Threadfin Shad (all ages)

Year	Sept	Oct	Nov	Dec	Total
1967	6810	3640	928	1357	12735
1968	1631	1570	1618	614	5433
1969	5915	1146	828	509	8398
1970	1596	820	786	861	4063
1971	1064	3473	1759	610	6906
1972	1527	1858	1106	622	5113
1973	1043	46	113	30	1232
1974					
1975	292	24	267	135	718
1976	1585	421	323	628	2957
1977	2703	2847	2897	569	9016
1978	984	481	149	485	2099
1979					
1980	1243	4023	1472	541	7279
1981	1164	3428	1823	259	6674
1982	304	375	1197	225	2101
1983	583	587	653	265	2088
1984	346	113	278	20	757
1985	278	258	60	225	821
1986	742	342	1657	88	2829
1987	891	72	1984	528	3475
1988	409	287	1555	158	2409
1989	1808	564	4209	316	6897
1990	405	898	1710	2846	5859
1991	631	420	1399	866	3316
1992	742	1054	371	791	2958
1993	1521	2537	1927	693	6678
1994	331	819	836	319	2305
1995	1631	592	730	384	3337
1996	146	1150	934	2528	4758
1997	797	3543	6140	4787	15267
1998	1922	2070	959	797	5748
1999	2670	772	2392	1693	7527
2000	68	1879	1218	9812	12977
2001	4382	1616	1407	6996	14401
2002	137	1024	253	317	1731
2003	748	339	380	497	1964
2004	610	179	330	182	1301
2005	287	1141	1009	428	2865
2006	1852	140	121	112	2225
2007	80	130	44	2923	3177
2008	59	293	66	32	450
2009	2	8	13	20	43
2010	37	36	3	44	120
2011	67	20	52	89	228
2012	5	3	11	22	41
2013	9	61	39	168	277
2014	18	1	175	88	282
2015	194	82	277	253	806
2016	114	50	252	244	660
2017	12	72	84	123	291
2018	24	84	33	57	198
2019	43				
